proto,service,state,ct_srv_src,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,spkts,dpkts,sbytes,dbytes,sload,dload,sloss,dloss,ackdat,synack,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,ct_dst_src_ltm,ct_state_ttl,rate,sttl,dttl,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,smean,dmean,dur,response_body_len,trans_depth
argus,-,INT,10,8,8,8,42,0,3780,0,1680000000.0,0.0,0,0,0.0,0.0,0,0,0,168,210,0,210,42,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,9e-06,0,0
argus,-,INT,10,9,8,8,34,0,3060,0,2448000000.0,0.0,0,0,0.0,0.0,0,0,0,136,170,0,170,34,200000.0051,254.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,5e-06,0,0
argus,-,INT,10,9,9,9,40,0,3600,0,4799999680.0,0.0,0,0,0.0,0.0,0,0,0,180,200,0,200,40,333333.3215,254.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,3e-06,0,0
argus,-,INT,10,10,10,10,38,0,3420,0,1710000000.0,0.0,0,0,0.0,0.0,0,0,0,190,190,0,190,38,125000.0003,254.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,8e-06,0,0
argus,-,INT,10,11,10,10,40,0,3600,0,2880000000.0,0.0,0,0,0.0,0.0,0,0,0,200,200,0,200,40,200000.0051,254.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,5e-06,0,0
argus,-,INT,14,14,14,14,28,0,2520,0,916363616.0,0.0,0,0,0.0,0.0,0,0,0,210,196,0,196,28,90909.0902,254.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.1e-05,0,0
aris,-,INT,3,1,1,1,38,0,3800,0,1688888872.0,0.0,0,0,0.0,0.0,0,0,0,171,57,0,57,38,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
aris,-,INT,4,2,2,2,116,0,11600,0,5863492000.0,0.0,0,0,0.0,0.0,0,0,0,592,232,0,232,116,126368.36150689654,254.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
aris,-,INT,4,3,2,2,40,0,4000,0,4000000000.0,0.0,0,0,0.0,0.0,0,0,0,60,80,0,100,40,250000.0006,254.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4e-06,0,0
aris,-,INT,9,2,2,2,70,0,7000,0,3266666648.0,0.0,0,0,0.0,0.0,0,0,0,70,315,0,301,70,116666.66444000001,254.0,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
arp,-,CON,1,1,1,1,224,224,8558,8018,1333.478603,1111.751273,0,0,0.0,0.0,0,0,0,85,82,0,82,0,3413.063134292683,0.0,0.0,26483.603829268293,26483.588853658533,5569.229058256097,5568.211272841463,0.0,0.0,0.0,0.0,0.0,36.34146341463415,37.65853658536585,52.124283,0,0
arp,-,CON,1,2,1,2,4,4,184,112,35.519405,21.620508,0,0,0.0,0.0,0,0,0,1,2,0,1,0,0.225214,0.0,0.0,15515.074,15515.074,15515.099,15515.108,0.0,0.0,0.0,0.0,0.0,46.0,28.0,31.0816,0,0
arp,-,CON,2,1,1,1,11,11,326,488,27.509641000000002,45.194411,0,0,0.0,0.0,0,0,0,7,7,0,6,0,7575.818922000001,0.0,0.0,34045.074,34045.098666666665,3.6570518333333335,5.149658333333334,0.0,0.0,0.0,0.0,0.0,31.0,43.0,45.129467,0,0
arp,-,CON,2,1,2,1,5,5,140,230,14.623571,24.024437,0,0,0.0,0.0,0,0,0,4,2,0,2,0,0.0878215,0.0,0.0,32477.331,32477.298,0.251,3.5260945,0.0,0.0,0.0,0.0,0.0,28.0,46.0,49.48539,0,0
arp,-,CON,2,2,1,2,1,1,46,28,0.0,0.0,0,0,0.0,0.0,0,0,0,2,2,0,1,0,40000.00101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,28.0,2.5e-05,0,0
arp,-,CON,2,2,2,2,182,182,7112,6356,1205.907178,949.802986,0,0,0.0,0.0,0,0,0,118,118,0,118,0,0.15190227118644067,0.0,0.0,25464.52366101695,25464.521186440677,7429.915351661017,7430.760291389831,0.0,0.0,0.0,0.0,0.0,36.54237288135593,37.45762711864407,52.758282,0,0
arp,-,INT,1,1,1,1,1411,0,64906,0,318.992203,0.0,0,0,0.0,0.0,0,0,0,1359,1367,1339,1359,2718,0.0006378395879323032,0.0,0.0,54525.9746107432,0.0,4.231394879323031,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,59.999989,0,0
arp,-,INT,1,2,1,2,4,0,184,0,0.0,0.0,0,0,0.0,0.0,0,0,0,4,8,4,4,8,0.0,0.0,0.0,60000.724,0.0,5.4772592499999995,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0,0
arp,-,INT,2,1,2,1,2,0,92,0,0.0,0.0,0,0,0.0,0.0,0,0,0,4,2,1,2,4,0.0,0.0,0.0,30000.35,0.0,5.4772575,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0,0
arp,-,INT,2,2,2,2,2462,0,113252,0,750.525174,0.0,0,0,0.0,0.0,0,0,0,4576,4628,2286,4576,4576,0.0008913793706293707,0.0,0.0,55070.47450699301,0.0,4.721873667832168,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,59.999989,0,0
arp,-,INT,2,4,2,4,10,0,460,0,12.267372,0.0,0,0,0.0,0.0,0,0,0,16,32,8,16,16,0.004167,0.0,0.0,60000.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,59.996548,0,0
arp,-,INT,4,4,4,4,8,0,368,0,0.0,0.0,0,0,0.0,0.0,0,0,0,32,32,8,32,16,0.0,0.0,0.0,30000.352,0.0,3.87300575,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0,0
arp,-,INT,5,1,1,1,10,0,460,0,0.0,0.0,0,0,0.0,0.0,0,0,0,10,60,10,50,20,0.0,0.0,0.0,60000.7252,0.0,4.8355576,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0,0
arp,-,INT,8,1,1,1,16,0,736,0,0.0,0.0,0,0,0.0,0.0,0,0,0,16,152,16,128,32,0.0,0.0,0.0,60000.7225,0.0,3.990475125,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0,0
ax.25,-,INT,3,2,2,2,40,0,4000,0,4000000000.0,0.0,0,0,0.0,0.0,0,0,0,40,60,0,60,40,250000.0006,254.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4e-06,0,0
ax.25,-,INT,6,2,2,2,78,0,7800,0,3688888872.0,0.0,0,0,0.0,0.0,0,0,0,230,234,0,234,78,118233.61648205128,254.0,0.0,0.008487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
ax.25,-,INT,6,3,3,3,36,0,3600,0,3600000000.0,0.0,0,0,0.0,0.0,0,0,0,72,108,0,108,36,250000.00060000003,254.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4e-06,0,0
ax.25,-,INT,7,3,3,3,40,0,4000,0,1777777760.0,0.0,0,0,0.0,0.0,0,0,0,480,140,0,140,40,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
ax.25,-,INT,8,4,4,4,28,0,2800,0,1599999968.0,0.0,0,0,0.0,0.0,0,0,0,56,126,0,56,28,142857.1409,254.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,7e-06,0,0
ax.25,-,INT,9,4,3,3,42,0,4200,0,1866666648.0,0.0,0,0,0.0,0.0,0,0,0,63,189,0,231,42,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
bbn-rcc,-,INT,7,7,7,7,40,0,3600,0,3600000000.0,0.0,0,0,0.0,0.0,0,0,0,140,140,0,140,40,250000.0006,254.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,4e-06,0,0
bbn-rcc,-,INT,10,8,8,8,42,0,3780,0,1680000000.0,0.0,0,0,0.0,0.0,0,0,0,168,210,0,210,42,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,9e-06,0,0
bbn-rcc,-,INT,10,9,8,8,34,0,3060,0,4079999728.0,0.0,0,0,0.0,0.0,0,0,0,136,170,0,170,34,333333.3215,254.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,3e-06,0,0
bbn-rcc,-,INT,10,9,9,9,42,0,3780,0,5039999664.0,0.0,0,0,0.0,0.0,0,0,0,189,210,0,210,42,333333.3215,254.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,3e-06,0,0
bbn-rcc,-,INT,10,10,10,10,38,0,3420,0,4559999696.0,0.0,0,0,0.0,0.0,0,0,0,190,190,0,190,38,333333.3215,254.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,3e-06,0,0
bbn-rcc,-,INT,10,11,10,10,40,0,3600,0,1800000000.0,0.0,0,0,0.0,0.0,0,0,0,200,200,0,200,40,125000.0003,254.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,8e-06,0,0
bbn-rcc,-,INT,14,14,14,14,28,0,2520,0,916363616.0,0.0,0,0,0.0,0.0,0,0,0,210,196,0,196,28,90909.0902,254.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.1e-05,0,0
bna,-,INT,2,1,1,1,40,0,4000,0,1777777760.0,0.0,0,0,0.0,0.0,0,0,0,20,40,0,40,40,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
bna,-,INT,3,1,1,1,76,0,7600,0,9599999984.0,0.0,0,0,0.0,0.0,0,0,0,76,114,0,114,76,315789.4725157895,254.0,0.0,0.00531578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
bna,-,INT,4,2,2,2,40,0,4000,0,1777777760.0,0.0,0,0,0.0,0.0,0,0,0,40,80,0,80,40,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
bna,-,INT,5,1,1,1,38,0,3800,0,5066666464.0,0.0,0,0,0.0,0.0,0,0,0,19,95,0,95,38,333333.3215,254.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3e-06,0,0
bna,-,INT,8,1,1,1,42,0,4200,0,4200000000.0,0.0,0,0,0.0,0.0,0,0,0,42,168,0,315,42,250000.0006,254.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4e-06,0,0
bna,-,INT,12,4,2,3,28,0,2800,0,2240000000.0,0.0,0,0,0.0,0.0,0,0,0,56,168,0,56,28,200000.0051,254.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5e-06,0,0
br-sat-mon,-,INT,2,1,1,1,40,0,4000,0,3200000000.0,0.0,0,0,0.0,0.0,0,0,0,380,40,0,40,40,200000.0051,254.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5e-06,0,0
br-sat-mon,-,INT,4,2,2,2,38,0,3800,0,1900000000.0,0.0,0,0,0.0,0.0,0,0,0,190,76,0,76,38,125000.0003,254.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8e-06,0,0
br-sat-mon,-,INT,4,3,3,3,40,0,4000,0,2000000000.0,0.0,0,0,0.0,0.0,0,0,0,60,80,0,80,40,125000.0003,254.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8e-06,0,0
br-sat-mon,-,INT,5,2,2,2,36,0,3600,0,2399999904.0,0.0,0,0,0.0,0.0,0,0,0,54,90,0,90,36,166666.6608,254.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,6e-06,0,0
br-sat-mon,-,INT,7,2,2,2,40,0,4000,0,3200000000.0,0.0,0,0,0.0,0.0,0,0,0,280,140,0,140,40,200000.0051,254.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5e-06,0,0
br-sat-mon,-,INT,12,2,2,2,28,0,2800,0,1018181808.0,0.0,0,0,0.0,0.0,0,0,0,28,168,0,28,28,90909.0902,254.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1e-05,0,0
br-sat-mon,-,INT,12,5,4,4,42,0,4200,0,5599999776.0,0.0,0,0,0.0,0.0,0,0,0,105,252,0,336,42,333333.3215,254.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3e-06,0,0
cbt,-,INT,7,7,7,7,80,0,7200,0,28437.18018,0.0,0,0,0.0,0.0,0,0,0,140,140,0,140,40,1.974804,254.0,0.0,506.37934400000006,0.0,716.122875,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.519138,0,0
cbt,-,INT,8,5,4,4,56,0,5040,0,29105.162603999997,0.0,0,0,0.0,0.0,0,0,0,56,84,0,56,28,2.887417,254.0,0.0,346.330344,0.0,489.773031,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.038991,0,0
cbt,-,INT,10,8,8,8,84,0,7560,0,44388.770517000004,0.0,0,0,0.0,0.0,0,0,0,168,210,0,210,42,2.935765,254.0,0.0,340.626656,0.0,481.706125,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.02188,0,0
cbt,-,INT,10,9,8,8,72,0,6480,0,37461.410154,0.0,0,0,0.0,0.0,0,0,0,144,180,0,180,36,2.890541,254.0,0.0,345.956,0.0,489.24718700000005,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.037868,0,0
cbt,-,INT,10,9,9,9,80,0,7200,0,41083.54004,0.0,0,0,0.0,0.0,0,0,0,180,200,0,200,40,2.853023,254.0,0.0,350.505344,0.0,495.68090599999994,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.051516,0,0
cbt,-,INT,10,10,10,10,76,0,6840,0,35034.193233,0.0,0,0,0.0,0.0,0,0,0,190,190,0,190,38,2.560979,254.0,0.0,390.475656,0.0,552.206063,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.171427,0,0
cbt,-,INT,10,11,10,10,80,0,7200,0,41825.976559999996,0.0,0,0,0.0,0.0,0,0,0,200,200,0,200,40,2.904582,254.0,0.0,344.283656,0.0,486.880031,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.032851,0,0
cftp,-,INT,2,1,1,1,36,0,3600,0,4799999808.0,0.0,0,0,0.0,0.0,0,0,0,36,36,0,36,36,333333.3215,254.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3e-06,0,0
cftp,-,INT,3,1,1,1,80,0,8000,0,3777777760.0,0.0,0,0,0.0,0.0,0,0,0,60,120,0,160,80,118055.55375,254.0,0.0,0.008499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
cftp,-,INT,4,3,3,3,40,0,4000,0,5333333120.0,0.0,0,0,0.0,0.0,0,0,0,80,80,0,80,40,333333.3215,254.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3e-06,0,0
cftp,-,INT,6,1,1,1,38,0,3800,0,1688888872.0,0.0,0,0,0.0,0.0,0,0,0,19,114,0,114,38,111111.1072,254.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9e-06,0,0
cftp,-,INT,9,5,3,3,42,0,4200,0,5599999776.0,0.0,0,0,0.0,0.0,0,0,0,105,189,0,273,42,333333.3215,254.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3e-06,0,0
cftp,-,INT,19,6,6,6,28,0,2800,0,1018181808.0,0.0,0,0,0.0,0.0,0,0,0,84,252,0,84,28,90909.0902,254.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.2e-05,0,0
